PuzzleId,FEN,Moves,Rating,Themes
18nX5,r3k2r/pp3ppp/2p5/4N3/Q1Pqn1b1/8/PP1B2PP/RN3BKR w kq - 3 14,d2e3 d4e3,533,kingsideAttack
8s1Ty,r1b1Qbk1/pp4rp/2p1pN2/3p4/5P2/3q2P1/P5KP/5R2 b - - 3 29,g8h8 e8f8 g7g8 f8g8,533,hangingPiece
D8Oi2,8/2N5/5K2/8/6p1/5k2/8/8 w - - 2 71,c7d5 g4g3 f6e5 g3g2 d5f4 g2g1q,534,promotion
0Dekd,7r/p6p/5R2/6pk/6P1/2Nr1P2/PP5P/6K1 b - - 0 30,h5h4 f6h6,535,mateIn1
0yQ5U,4rr2/pp1b1pbk/3p2p1/3n2Pp/3NPPnP/3B4/PPPR4/1K4BR w - - 0 21,e4d5 e8e1 d2d1 e1d1,535,backRankMate mateIn2
05wuR,3r4/2k3b1/2p4p/5Qp1/8/PP6/2P3PP/1K1rR3 w - - 3 31,e1d1 d8d1 b1a2 d1a1,536,mateIn2
ID7El,8/8/5pk1/3p3p/3P1KpP/6P1/8/8 b - - 2 45,g6h6 f4f5 h6g7 f5e6 g7g6 e6d5,536,pawnEndgame
0APU7,r7/ppp2kpp/3p4/2b2b2/3BR3/5Q2/PPP2PPP/RNq3K1 w - - 1 14,e4e1 c1e1,537,kingsideAttack mateIn1
1vxf1,2R5/P7/8/8/5K1k/r5pp/8/8 b - - 3 66,a3a7 c8h8 a7h7 h8h7,537,rookEndgame
Gv1bD,8/8/3k4/p2P2p1/P2K3p/8/5P1P/8 w - - 0 41,h2h3 g5g4 h3g4 h4h3 g4g5 h3h2,537,pawnEndgame
09ZcB,6k1/p1r2pp1/4p2p/3p4/2nP4/3B1PP1/7P/1R4K1 b - - 5 38,c4d2 b1b8 c7c8 b8c8,539,mateIn2
1E5ff,8/8/4R3/3p4/1P1P4/1kP1n3/p5r1/K7 w - - 1 51,e6e3 g2g1 e3e1 g1e1,539,rookEndgame
0boOL,r1b3k1/ppp2ppp/8/b7/3n2P1/1B1Pr1B1/PP6/R2K1Q2 b - - 14 24,e3g3 f1f7 g8h8 f7e8,540,backRankMate mateIn2
25Q4m,r5k1/3b1ppp/8/3p4/p2r2P1/1R5P/4KP2/R2N4 b - - 0 39,a4b3 a1a8 d7c8 a8c8,540,hangingPiece
3WrPg,8/6K1/5Q1p/1p6/8/1kq3P1/7P/8 w - - 0 47,f6c3 b3c3 g7h6 b5b4 g3g4 b4b3 g4g5 b3b2 g5g6 b2b1q,540,advancedPawn promotion
C73TJ,3r2k1/pp3ppp/4p3/6R1/3r1Pq1/2P3P1/PP4P1/4Q1K1 w - - 0 26,g5g4 d4d1 e1d1 d8d1,540,pin
GDTQC,4k3/7R/1pr1P2p/p2K2bP/P2P4/1pP5/1P6/8 b - - 0 40,c6c8 h7h8 e8e7 h8c8,540,skewer
gGlij,5rk1/p4pp1/4Q2p/8/3P4/2P3qP/P4RP1/4B2K b - - 0 37,f7e6 f2f8 g8f8 e1g3,540,discoveredAttack
4AWvK,8/3n4/P2k4/1K6/8/8/8/8 b - - 0 67,d7b8 a6a7 b8c6 a7a8q,541,advancedPawn promotion
zhuO9,3r2k1/ppp3pp/4p3/3n4/8/6N1/PPP2PPP/3R2K1 w - - 0 19,g1f1 d5e3 f2e3 d8d1,541,discoveredAttack
B96RG,2r3k1/2P5/4Nbp1/5p1p/7P/5P2/2pK1BP1/8 b - - 1 42,c8c7 e6c7 c2c1b d2c1,542,hangingPiece
03eid,r3kb1r/ppp3p1/2nq1np1/3p4/2PPp3/8/PP2BPPP/RNBQ1RK1 w kq - 1 11,c4c5 d6h2,543,kingsideAttack mateIn1
0jw8X,r3k2r/p1pp2pp/1p3p2/1P2n3/Pq2P3/5N2/1nQ2PPP/RN2R1K1 w kq - 0 18,f3e5 b4e1,543,kingsideAttack
0nLyH,6k1/5p1p/5bpB/R7/p1r5/7P/5PP1/6K1 b - - 3 40,f6d4 a5a8 c4c8 a8c8,543,mateIn2
14fKi,1k1r3r/1Pp1np1p/p6b/3pP3/P2P1pq1/2PQ1p2/2N3PP/R1B2RK1 w - - 1 17,d3a6 g4g2,543,kingsideAttack
L81qU,4r1k1/1p4p1/p1p1bp2/3p4/7R/1P1P2P1/1PP2P1P/4RK2 w - - 2 27,h4b4 e6h3 f1g1 e8e1,543,deflection
0KQ44,r2q1rk1/ppp1bppp/2n2B2/5Q2/3P4/2NB3P/PPP3P1/R3R1K1 b - - 0 16,e7f6 f5h7,544,kingsideAttack mateIn1
0mlzb,rn4k1/5ppp/2p5/1p1q4/pB6/P3PP1P/6P1/2RQ1K2 b - - 3 25,d5b3 d1d8,547,backRankMate
0xV0F,8/B7/4k3/p2nr3/7P/4p1PK/P3R3/8 w - - 5 53,g3g4 d5f4 h3g3 f4e2,547,fork
1BhAe,4r2k/pp2Np1p/5bp1/1b6/P7/1P4N1/5PPP/4R1K1 b - - 0 28,b5a6 e7g6 h7g6 e1e8,547,discoveredAttack
5EDbL,8/7p/P4pk1/8/8/1p6/1P1p1PPP/1K2rR2 w - - 1 39,f1e1 d2e1q,547,advancedPawn promotion
7YY1Y,rn2r1k1/p5pp/1p6/3p4/2pP2Q1/B7/P4nPP/4RR1K w - - 1 24,f1f2 e8e1 f2f1 e1f1,547,hangingPiece
LfIUN,8/8/7K/4p3/8/8/5k1P/8 w - - 0 57,h6g5 e5e4 h2h4 e4e3 h4h5 e3e2 h5h6 e2e1q,547,pawnEndgame
0E0md,3r4/5pkp/6p1/1pNPp3/2n5/2P3P1/5P1P/3R2K1 b - - 2 33,f7f5 c5e6 g7f6 e6d8,549,fork
0luc0,2k5/R1P5/2K5/8/3P4/6q1/pr6/8 b - - 8 61,g3f4 a7a8 b2b8 a8b8,549,mateIn2
AMkjm,2r3k1/5p2/q5p1/2P1R2p/2p5/2Q5/5PP1/5K2 b - - 3 37,a6f6 e5e8 c8e8 c3f6,549,discoveredAttack
Q3LHs,8/r3k3/6pp/8/5p2/2R1N2P/3p2P1/6K1 w - - 0 46,e3d1 a7a1 c3d3 a1d1,549,pin
0CweW,4R3/pp5k/3p2p1/3P4/P1r2bP1/2r5/P1B5/1KR5 w - - 0 38,c2g6 h7g6 c1c3 c4c3,550,hangingPiece
BCFt3,8/2p1kP2/1pP5/pP2p1p1/P4pP1/5P1b/3rBR1P/7K b - - 2 34,e7f7 e2c4 f7f6 f2d2,550,discoveredAttack
0Gu8m,6k1/p3rppp/6r1/2pp2q1/PP2n3/4P1PP/5P2/2R1QRK1 b - - 0 26,c5b4 c1c8 e7e8 c8e8,551,backRankMate mateIn2
3L7Op,r7/5p2/8/5k1p/7K/PR2P3/6P1/8 w - - 2 36,h4h5 a8h8,551,rookEndgame
AQU45,5k2/5ppp/1p6/PP1p4/4p3/1b2P1KP/6P1/8 b - - 0 39,b6a5 b5b6 b3c4 b6b7,551,advancedPawn
